Question,Generated Answer,Actual Answer,Jaccard Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,Response Time (s),,,Results for accuracy on first run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","Thanks for your concern. The dry cough basically has a few causes....First is Post nasal drip, second  Gastroesophageal reflux'heart burn', third Cough variant aasthma, forth Heart failure and finally Interstitial lung disease. Based on the information if you don't have a heart burn or reflux of food or sour brash into your mouth, you are having a cough variant asthma, make sure you do not have difficulty breathing. There is something called cardiac asthma, but it's not much of a likelihood given your young age.I advice you that you give up on smoking as it causes a multitude of problems and may well be related to the cough you've been having now called as 'smokers cough'.It's time that you stop smoking, avoid animal dancers, mites, pollens and any thing that would exacerbate the illness, make sure you don't have a heart burn, and if still the cough persists , meet a pulmo neologism and get a Pulmonary function test with methacholine challenge.","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.10625,7.88E-79,0.1920903911,0.01739129998,0.169491521,99.08239996,0.09908239996,,,Jaccard similarity,0,0.05813953488,0.07692307692,0.09803921569,0.9821428571
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","Thanks for your concern. The dry cough basically has a few causes....First is Post nasal drip, second  Gastroesophageal reflux'heart burn', third Cough variant aasthma, forth Heart failure and finally Interstitial lung disease. Based on the information if you don't have a heart burn or reflux of food or sour brash into your mouth, you are having a cough variant asthma, make sure you do not have difficulty breathing. There is something called cardiac asthma, but it's not much of a likelihood given your young age.I advice you that you give up on smoking as it causes a multitude of problems and may well be related to the cough you've been having now called as 'smokers cough'.It's time that you stop smoking, avoid animal dancers, mites, pollens and any thing that would exacerbate the illness, make sure you don't have a heart burn, and if still the cough persists , meet a pulmo neologism and get a Pulmonary function test with methacholine challenge.","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.1125,9.19E-79,0.2022471866,0.01793721553,0.1685393214,9.762199998,0.009762199998,,,BLEU ,0.00E+00,0.1126760527,1.43E-01,0.1904761855,1.00E+00
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,In brief: Hard to say.The questions you pose are more appropriate to ask your local physicians and health plans.As a USA based site we have no access to or information about the changing local recommendations for world travel around the globe nor would we know what your plan covers. Find a local health contact & contact your health plan for guidance.,"Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.06451612903,2.93E-155,0.1194029811,0.02499999651,0.1194029811,8.398000002,0.008398000002,,,ROUGE-1,0,0,0,0.01739129935,0.999999995
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,"Hard to get tested. Throat pain can be from a strep throat (antibiotics needed), a cold or influenza, or from some other cause such as allergies or irritants. Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep usually lacks cough but has more throat pain. Can call.",Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.04347826087,9.48E-232,0.1126760527,0,0.1126760527,11.10640001,0.01110640001,,,ROUGE-2,0,0.1038960993,0.1308411167,0.1657458518,0.999999995
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.",In brief: Unlikely.Not at this point.Treat what you have currently symptomatically. Stock up now whilst not yet on lockdown. I don't feel that you qualify for a Covid test right now. Keep posting your questions.,Question   You have not posted a question.  Would you like to video or text chat with me?,0.08333333333,3.67E-155,0.1538461494,0,0.1538461494,8.96420002,0.00896420002,,,ROUGE-L,7.240100026,8.041000009,8.398000002,8.96420002,99.08239996
"What’s worse with the coronavirus, type 1 or type 2 diabetes?","Take all precautions. Take all precautions possible to try to avoid catching Coronavirus. Wash your hands often with soap & water, avoid touching your eyes, nose & mouth, stay home as much as possible, cover your mouth & nose with tissue if you sneeze or cough, clean & disinfect  frequently touched surfaces often & if you have fever, cough and difficulty breathing seek medical care.",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.03703703704,1.01E-231,0.07317072685,0,0.07317072685,7.571099997,0.007571099997,,,,,,,,
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. I’m 67, or wait to see if I develop any symptoms.?","Not advised to test . The test currently used is a genetic test which test for the virus genetics. Therefor if you are tested while asymptomatic, it will not test positive, even though you might actually be infected.Rather stay under self quarantine and test if you show some signs.","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.05555555556,1.10E-231,0.1012658178,0,0.1012658178,8.126999974,0.008126999974,,,,,,,,
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"Hello, As you explain the situation, unfortunately, there is no home treatment for pneumonia. I strongly recommend you to go to the hospital as an emergency which is free mostly. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Jnikolla, Pulmonologist","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.1063829787,2.34E-155,0.1886792405,0,0.169811316,8.819500089,0.008819500089,,,,,,,,
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?","Hi, Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Jnikolla,Pulmonologist","Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.08045977011,1.22E-231,0.1505376295,0,0.1290322531,7.931200027,0.007931200027,,,,,,,,
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,Correct. Every bit helps.,"Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0,3.65E-232,0,0,0,8.040799975,0.008040799975,,,,,,,,
