query_group,response1,response2,jaccard_similarity
1,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
1,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
1,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
2,"It depends. It depends of your country and the state of coronavirus, in some places you need to have traveled recently to another country to get the test, and in another countrys you need to be tested right away after any symptoms. You should check your country phase of coronavirus Would you like to video or text chat with me?","I am not sure how to answer that since I am still learning, could you please try again?",0.0350877193
2,"It depends. It depends of your country and the state of coronavirus, in some places you need to have traveled recently to another country to get the test, and in another countrys you need to be tested right away after any symptoms. You should check your country phase of coronavirus Would you like to video or text chat with me?","Bacterial likely. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area.id=287https://www.healthtap.com/member/fg?page=/search/covid",0.1076923077
2,"I am not sure how to answer that since I am still learning, could you please try again?","Bacterial likely. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area.id=287https://www.healthtap.com/member/fg?page=/search/covid",0.07142857143
3,"I am not sure how to answer that since I am still learning, could you please try again?","Bacterial likely. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area.id=287https://www.healthtap.com/member/fg?page=/search/covid",0.07142857143
3,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
3,"Bacterial likely. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area.id=287https://www.healthtap.com/member/fg?page=/search/covid","I am not sure how to answer that since I am still learning, could you please try again?",0.07142857143
4,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
4,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
4,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
5,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
5,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
5,"I am not sure how to answer that since I am still learning, could you please try again?","I am not sure how to answer that since I am still learning, could you please try again?",1
