Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,,Results for accuracy on first run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","If you feel worse, you should definitely take it. If you don't have a fever, cough or shortness of breath, you probably don't need the antibiotics.","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.7222222222,2.38E-232,0.2222222182,0,0.1728395021,16.1765764,,Jaccard similarity,0.3880597015,0.5909090909,0.6530612245,0.7111111111,0.9032258065
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","No corona in your lungs. If you have had a sore throat for a few days, and if you sneeze or cough a lot, you probably have it.","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.8064516129,1.14E-155,0.1463414594,0.02105262742,0.1463414594,11.5288268,,BLEU ,0.00E+00,0,1.14E-155,0,1.75E-01
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,"If you have no symptoms and you travelled to Mauritiiia without any symptoms then no need to test. Unless you have a close contact that has tested positive for Covid 19, in which case you should get tested.. Otherwise no need to be tested.. Unless you have traveled to high risk country and or met with someone who has tested positive, in which cases you should be tested.","Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.6666666667,8.97E-232,0.1311475368,0,0.1311475368,21.8584684,,ROUGE-1,0,0.1311475368,0.1818181771,0.2105263115,0.3703703654
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,If you are not having fever and cough get tested for Corona. If you are having fever and coughing get tested for Coronavirus. If you have had contact with someone who has tested positive for Corona get tested for Covid-19.,Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.6551724138,9.89E-232,0.1463414586,0,0.09756097076,16.0590296,,ROUGE-2,0,0,0.0175438552,0.03539822526,0.2249999951
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.",That sounds like a very different situation. Is the dr treating you well and giving you appropriate treatment? Is the treatment you are taking available over the counter?,Question   You have not posted a question.  Would you like to video or text chat with me?,0.71875,1.03E-231,0.1463414586,0,0.1463414586,10.3058931,,ROUGE-L,0,0.1188118765,0.1666666619,0.2058823481,0.3636363587
"Whatâ€™s worse with the coronavirus, type 1 or type 2 diabetes?","Depends on the diabetes and the person. For type 1 diabetes, the worse the symptoms are, the more likely you are to die. For type 2 diabetes, the worst the symptoms are, the more likely are to die, and the more likely is you surviving but not well.. For type 2, the worse is the severe symptoms, the more severe the infection is, and the person is",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.8125,9.97E-232,0.2727272677,0.02352940692,0.2121212071,21.7019798,,,,,,,
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. Iâ€™m 67, or wait to see if I develop any symptoms.?","Wait to see if you develop any symptoms. If you have direct contact with someone who has visited a high risk area, like NYC or San Francisco, or if you have traveled from a high risk country","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.5957446809,1.02E-231,0.1194029802,0,0.1194029802,12.252818,,,,,,,
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"If your baby is under 2 weeks old, call the hospital right away and see what they advise you to do. If your baby Yanukovych is under 2weeks old, call his hospital right away. If your hospital is not accepting new patients, call the local","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.6923076923,6.12E-232,0.1702127617,0.01785713849,0.1489361659,15.0715043,,,,,,,
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?",You are most likely having a viral respiratory tract infection and need to be isolated. Get well soon. If you are not improving we can recommend a chest x ray and CBC (complete blood count). If worsening we can recommend an endoscopic evaluation of the area. Hope I have solved your query. I will be happy to help you further. Wishing good health,"Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.6136363636,1.25E-231,0.2330097037,0,0.2330097037,19.9174107,,,,,,,
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,It can be transmitted through all mucous membranes. The number of viral and genetic material is highly dependent upon the organism and the environment.   The goal is to keep people separated so as to prevent transmission.   Would you like to video or text chat with me? I can explain the process.  Would you prefer to video or phone chat with me.  Would,"Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.5789473684,0,0,0,0,20.698636,,,,,,,
