Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,,Results for accuracy on second run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,Results for accuracy on average for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,low_1,med
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","If you have had a sore throat for a few days that gets worse every day, and if you have a fever over 100F, call your GP.. If you don't have","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.6153846154,1.26E-155,0.1463414593,0.03921568229,0.1219512154,12.9984939,,Jaccard similarity,0.4090909091,0.6041666667,0.6388888889,0.7,0.9333333333,,Jaccard similarity,0.225,0.5861522199,0.6530612245,0.708496732,0.9333333333,,0.5909090909,0.6530612245
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","If you have had a previous exposure to COVID-19, you should get tested. COVID- 19 infection is worldwide, in all but some isolated areas.","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.6842105263,1.03E-155,0.1666666625,0.02150537232,0.1666666625,11.1564986,,BLEU ,0.00E+00,0,1.13E-231,0,1.62E-01,,BLEU ,0.00E+00,0,1.14E-155,0,1.75E-01,,0.5813953488,0.6585365854
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,"Not at this time. Stay home and stay safe.. We are here for you. We are here to answer your questions. lt 3. Thank you for your question on Healthcare Magic. I can understand your concern. Yes, you should get tested. If you do not have a fever, cough or shortness of breath, you are probably fine. And also get sore throat and dry","Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.5609756098,9.63E-232,0.1449275324,0,0.1449275324,21.5744394,,ROUGE-1,0,0.1238938003,0.1720430066,0.2173913002,0.4705882303,,ROUGE-1,0,0.1275206686,0.1777777728,0.2295747686,0.4705882303,,0.6041666667,0.6388888889
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,If you have not traveled or been in contact with a corona virus patient then it is highly unlikely you have it. If you have traveled and are unwell then your best step is to isolate yourself (google) a step by step guide on how to self isolate.,Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.7777777778,9.11E-232,0.115384611,0,0.115384611,15.6694329,,ROUGE-2,0,0,0,0.03571428079,0.2769230729,,ROUGE-2,0,0,0.0175438552,0.04285713865,0.2769230729,,,
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.",Sounds like your Dr. was right on this one. Sounds like a viral situation with the Dr. and his staff. Hope you feel better soon. I hope,Question   You have not posted a question.  Would you like to video or text chat with me?,0.5588235294,1.13E-231,0.1951219464,0,0.1951219464,10.0839126,,ROUGE-L,0,0.1030927787,0.1538461495,0.2105263109,0.3823529362,,ROUGE-L,0,0.1109523276,0.1573033666,0.2151532631,0.3823529362,,upp_3,max
"Whatâ€™s worse with the coronavirus, type 1 or type 2 diabetes?","Type 1 diabetes is the most common complication of the virus. If you are well controlled similar to rest of population, no one really spared so to speak. If you have a compromised immune system and are vulnerable to infections, especially from comorbid viruses, then 1. COVID-192. Type 2 diabetes is the second most common complication. If you suspect you have it, self-is",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.75,3.44E-155,0.2564102515,0.02222221747,0.2564102515,21.3071896,,,,,,,,,,,,,,,,0.711111111,0.9032258065
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. Iâ€™m 67, or wait to see if I develop any symptoms.?","Wait for now   Don't go to direct contact with someone who has COVID-19, or travel to high risk country, or you will become contagious.   Would you like to video","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.625,6.85E-232,0.0634920587,0,0.0634920587,11.9949327,,,,,,,,,,,,,,,,0.7058823529,0.8709677419
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"Wait for now   Stay home, keep the kids separated from each other.   The tests are being held in a safe location and will be for about another week or two before they can be tested.   If the tests are not working or you","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.675,6.01E-232,0.2156862699,0.01709401254,0.2156862699,14.946141,,,,,,,,,,,,,,,,0.7,0.9333333333
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?","Probably not related to the virus. Most likely a different virus. Try to access a doctor who knowsithcare about the virus. Ask questions on this forum. Also get tested if you have a high fever and are concerned.. If you do not have a high fevers, ask for a test.. If high fever, ask for an exam. If","Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.6341463415,3.41E-155,0.2173912994,0.01869158379,0.2173912994,19.6029706,,,,,,,,,,,,,rouge_2_max,,,,
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,It can be transmitted through any mucous membranes. Fungal mucosa and sinusoidal sinuses arehips of the nose and mouth. Fungalese and rhinovirus are the most common pathogens in the US and are rarely if ever the only transmitted pathogens. Outside of those two there is virtually no protection. Outside of these two there is minimal protection.,"Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.6388888889,6.66E-232,0.04081632353,0,0.04081632353,20.4638072,,,,,,,,,,,,,0.2249999951,,,bleu_med,bleu_max
