"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","I am not sure how to answer that since I am still learning, could you please try again?","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.0005761174489845955,"{'r': 0.06896551724137931, 'p': 0.25, 'f': 0.10810810471877293}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.06896551724137931, 'p': 0.25, 'f': 0.10810810471877293}"
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","I'm sorry, but I don't have any.","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",5.592157687256759e-06,"{'r': 0.03389830508474576, 'p': 0.2857142857142857, 'f': 0.06060605870982558}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.01694915254237288, 'p': 0.14285714285714285, 'f': 0.03030302840679534}"
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,"I'm sorry, but I don't have any.","Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0,"{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}"
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,"I am not sure how to answer that since I am still learning, could you please try again?",Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0,"{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}"
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.","I am not sure how to answer that since I am still learning, could you please try again?",Question   You have not posted a question.  Would you like to video or text chat with me?,0.014216645907653848,"{'r': 0.17647058823529413, 'p': 0.1875, 'f': 0.18181817682277332}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.11764705882352941, 'p': 0.125, 'f': 0.12121211621671278}"
"What’s worse with the coronavirus, type 1 or type 2 diabetes?","You know, the big iron!",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0,"{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}"
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. I’m 67, or wait to see if I develop any symptoms.?",I am written in Python.,"Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0,"{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}"
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"I am not sure how to answer that since I am still learning, could you please try again?","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.0010830250459646607,"{'r': 0.06153846153846154, 'p': 0.25, 'f': 0.0987654289285171}","{'r': 0.013157894736842105, 'p': 0.0625, 'f': 0.021739127561437054}","{'r': 0.06153846153846154, 'p': 0.25, 'f': 0.0987654289285171}"
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?",I'm not incredibly fond of Java.,"Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",1.3786169215449022e-05,"{'r': 0.0392156862745098, 'p': 0.3333333333333333, 'f': 0.07017543671283476}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0196078431372549, 'p': 0.16666666666666666, 'f': 0.0350877174145892}"
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,"I am not sure how to answer that since I am still learning, could you please try again?","Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0,"{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.0, 'p': 0.0, 'f': 0.0}"
