Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?"," specialists can give you better care.   If you feel worse, self-isolate and call your GP.  Would you like to video or text chat with me? I can","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.7631578947368421,0.05646359316753497,0.2926829226888757,0.1799999961520001,0.2682926787864367,11.507736899999998
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?",No   you do not have corona.   You may have a mild cold or influenza.    Either way you should not sneeze or cough. You,"Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.7741935483870968,1.683565051575181e-232,0.07792207433968645,0.0,0.07792207433968645,10.031127399999995
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,If you are not having symptoms or if you have traveled from a high risk area then no need to test. If you have a high risk group then yes need to test.. If you are not showing any symptoms then no need for testing..... If you do have a high likelihood of showing symptoms then no testing..... But if you are showing some symptoms then,"Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.625,8.412065649527267e-232,0.1224489749437736,0.0,0.1224489749437736,19.431191299999995
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,"If you have not traveled or been in contact with someone with Corona Virsu, you do not need testing.   Unless you are planning on traveling and or have been in contact but not with someone who has Corona Virsu.  Would you like to video or text chat",Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.65625,8.27449233497142e-232,0.08163264852977951,0.0,0.08163264852977951,14.084118000000004
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.","That is really unusual. Is your cough and fever controlled? If so, what treatment would you like us to get you tested for Covid-19? I",Question   You have not posted a question.  Would you like to video or text chat with me?,0.5833333333333334,3.966566290876102e-155,0.1463414585603809,0.049999995200000466,0.1463414585603809,9.021595099999999
"Whatâ€™s worse with the coronavirus, type 1 or type 2 diabetes?","Depends on severity. For type 1 diabetes, the best way to prevent is frequent handwashing and avoiding people with sneezing/coughing/cold symptoms. For type 2 diabetes, the most important way to prevent diabetes is to ensure that your glucose levels are normal. For example, if you have been in contact with someone with a conformed diagnosis of diabetes, you should test if possible",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.6944444444444444,1.0560510463147905e-231,0.17283950130163098,0.0,0.14814814327693965,19.861558799999997
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. Iâ€™m 67, or wait to see if I develop any symptoms.?","Wait for now   Don't go into public places, especially crowded places, unless you absolutely need to consult a doctor.   If you do not have a doctor call your local health resources ","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.5434782608695652,6.160293501060206e-232,0.030769225912426805,0.0,0.030769225912426805,11.07900699999999
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"If you meet criteria   You can be tested right away if you meet the criteria for testing, which currently states that you should have symptoms (cough/fever/shortness of breath/sore throat) PLUS contact with a confirmed or suspected case","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.6511627906976745,1.530299020225097e-155,0.22448979145147863,0.036036031718205214,0.18367346492086642,13.245976299999995
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?","If you have had a fever since the 15 of March, you probably have COVID-19. Call your General Physician and report your symptoms. They may want to see you, send you to be tested, or may give you other advice. Best to do a telephonic consult and get as much medicine as you can.. In the interim self","Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.8048780487804879,1.1434362398096986e-231,0.2083333283528647,0.0,0.2083333283528647,17.46787119999999
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,It can be transmitted through the air but the corona virus cannot survive in the air.   The best way to prevent corona is to keep your distance from others and your children well separated.   Would you like to video or text chat with me? I can understand your concern.  Would you prefer to text chat with my?Self isolate.  Would You,"Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.5897435897435898,0.0,0.0,0.0,0.0,18.302854800000006
