Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","The most common symptoms of COVID-19 arefeverchillssore throat.Other symptoms that are less common and may affect some patients include:muscle achessevere fatigue or tirednessrunny or blocked nose, or sneezingheadachesore eyesdizzinessnew and persistent coughtight chest or chest painshortness of breathhoarse voiceheavy arms/legsnumbness/tinglingnausea, vomiting, abdominal pain/ belly ache, or diarrhoeaappetite lossloss or change of sense of taste or smelldifficulty sleeping.Symptoms of severe COVID‐19 disease which need immediate medical attention include:difficulty in breathing, especially at rest, or unable to speak in sentencesconfusiondrowsiness or loss of consciousnesspersistent pain or pressure in the chestskin being cold or clammy, or turning pale or a bluish colourloss of speech or movement.If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.6595744680851063,2.228672183654684e-155,0.10256409838474705,0.00799999583232217,0.10256409838474705,1.0715353999999948
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","I am not sure how to answer that since I am still learning, could you please try again?","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.6774193548387096,7.357057715428005e-233,0.10666666331022233,0.0,0.10666666331022233,0.8663160999999988
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,"Anyone with symptoms such as acute onset of fever and cough should be tested, wherever possible, to ensure that they receive appropriate clinical care. People who do not have symptoms but have had close contact with someone who is, or may be, infected may also consider testing. Contact your local health guidelines and follow their guidance.While a person is waiting for test results, they should preferably wear a mask when interacting with others in or outside of their household or sharing space with others. Where testing capacity is limited, tests should first be done for those at higher risk of infection, such as health workers, and those at higher risk of severe illness such as older people, especially those living in seniors’ residences or long-term care facilities.Individuals with signs and symptoms suggestive of COVID-19 or those who test positive for the virus should wear a mask when interacting with others in or outside of one’s household or sharing space with others.","Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.625,7.232973140935087e-232,0.06837606577251819,0.0,0.06837606577251819,0.538231500000002
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,"I am not sure how to answer that since I am still learning, could you please try again?",Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.6296296296296297,0.0,0.0,0.0,0.0,1.5470715000000013
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.","The most common symptoms of COVID-19 arefeverchillssore throat.Other symptoms that are less common and may affect some patients include:muscle achessevere fatigue or tirednessrunny or blocked nose, or sneezingheadachesore eyesdizzinessnew and persistent coughtight chest or chest painshortness of breathhoarse voiceheavy arms/legsnumbness/tinglingnausea, vomiting, abdominal pain/ belly ache, or diarrhoeaappetite lossloss or change of sense of taste or smelldifficulty sleeping.Symptoms of severe COVID‐19 disease which need immediate medical attention include:difficulty in breathing, especially at rest, or unable to speak in sentencesconfusiondrowsiness or loss of consciousnesspersistent pain or pressure in the chestskin being cold or clammy, or turning pale or a bluish colourloss of speech or movement.If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.",Question   You have not posted a question.  Would you like to video or text chat with me?,0.4583333333333333,8.159161349361726e-232,0.09090908894501606,0.0,0.09090908894501606,2.3340162000000007
"What’s worse with the coronavirus, type 1 or type 2 diabetes?","Not well stablished. For now, it is known that having chronic disease, including diabetes (not specified type), increases the risk of death. However, the outbreak is so new that evidence is not enough robust to give a number yet. Anyway, It is recommendable to assume that you are at higher risk and strict protection should be taken.",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.6486486486486487,9.91475782510344e-232,0.14457830841631603,0.0,0.14457830841631603,0.310638400000002
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. I’m 67, or wait to see if I develop any symptoms.?","The most common symptoms of COVID-19 arefeverchillssore throat.Other symptoms that are less common and may affect some patients include:muscle achessevere fatigue or tirednessrunny or blocked nose, or sneezingheadachesore eyesdizzinessnew and persistent coughtight chest or chest painshortness of breathhoarse voiceheavy arms/legsnumbness/tinglingnausea, vomiting, abdominal pain/ belly ache, or diarrhoeaappetite lossloss or change of sense of taste or smelldifficulty sleeping.Symptoms of severe COVID‐19 disease which need immediate medical attention include:difficulty in breathing, especially at rest, or unable to speak in sentencesconfusiondrowsiness or loss of consciousnesspersistent pain or pressure in the chestskin being cold or clammy, or turning pale or a bluish colourloss of speech or movement.If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.6415094339622641,8.159161349361726e-232,0.09142856802873482,0.0,0.07999999660016342,1.139218899999996
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"Anyone with symptoms such as acute onset of fever and cough should be tested, wherever possible, to ensure that they receive appropriate clinical care. People who do not have symptoms but have had close contact with someone who is, or may be, infected may also consider testing. Contact your local health guidelines and follow their guidance.While a person is waiting for test results, they should preferably wear a mask when interacting with others in or outside of their household or sharing space with others. Where testing capacity is limited, tests should first be done for those at higher risk of infection, such as health workers, and those at higher risk of severe illness such as older people, especially those living in seniors’ residences or long-term care facilities.Individuals with signs and symptoms suggestive of COVID-19 or those who test positive for the virus should wear a mask when interacting with others in or outside of one’s household or sharing space with others.","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.6170212765957447,2.5785034097175327e-155,0.18292682448319464,0.00925925469821898,0.12195121472709716,0.9057196999999988
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?","Thank you doctor, I woke up this morning, I had trouble sleeping being worried, but I got some sleep then nearby phone ringing woke me up.So far, seems no one got any severe coughs or pain so far. I only hear minor coughs the past week or so. Thanks for those medicine recommendations for sleep. I fall asleep quicker, usually, it takes me around one hour to fall asleep on most days.I will try to avoid smoking as much as possible. Yes, I will be staying inside since many places are on lockdown. And school is online. I recently turned on the air purifier to clean up some air for allergies possible viruses but makes me cold. I might not need AC unless really hot.I will be staying home for the next month at least. My chills right now are feeling a bit better, but a little sick only because maybe I did not get enough sleep.I stay in San Francisco CA, United States, and there are close to 40 confirmed cases around here. No severe reports near my district, and have not heard anyone in serious condition.So, last week I have a sore throat and tonsil pain while swallowing for a few days, then one day drank a lot of honey and water and some tea, then it got better. Not sure if it got smaller, but the pain was less now though. Between my tonsils in the middle (behind the tongue) looks like my throat, got some red stuff, maybe looks like inflamed or rashes. Any recommendations? Any foods or drinks that can help?","Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.6122448979591837,9.291932380419767e-232,0.13852813508742348,0.0,0.12121211777140618,0.43891359999999935
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,"I am not sure how to answer that since I am still learning, could you please try again?","Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.6060606060606061,0.0,0.0,0.0,0.0,0.36886309999999867
