Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.7073170732,7.88E-79,0.1920903911,0.01739129998,0.169491521
0.7105263158,9.19E-79,0.2022471866,0.01793721553,0.1685393214
0.55,2.93E-155,0.1194029811,0.02499999651,0.1194029811
0.5,9.48E-232,0.1126760527,0,0.1126760527
0.5641025641,3.67E-155,0.1538461494,0,0.1538461494
0.6666666667,1.01E-231,0.07317072685,0,0.07317072685
0.5652173913,1.10E-231,0.1012658178,0,0.1012658178
0.5531914894,2.34E-155,0.1886792405,0,0.169811316
0.6744186047,1.22E-231,0.1505376295,0,0.1290322531
0.5,3.65E-232,0,0,0
0.6170212766,2.70E-155,0.1333333285,0,0.1333333285
0.7142857143,1.04E-231,0.1445783084,0,0.1204819228
0.6944444444,1.10E-231,0.1298701252,0,0.1038960993
0.6052631579,2.03E-155,0.1123595457,0.01941747107,0.1123595457
0.5625,8.07E-232,0.05084745493,0,0.05084745493
0.5909090909,3.59E-155,0.1647058774,0.01941747074,0.1647058774
0.2352941176,2.10E-237,0,0,0
0.6944444444,1.36E-78,0.1836734644,0.01739129935,0.1632653011
0.5952380952,9.50E-232,0.1153846104,0,0.07692307194
0.612244898,1.23E-231,0.1964285664,0,0.1607142807
0.511627907,1.27E-232,0.1388888854,0,0.1388888854
0.5652173913,2.94E-155,0.1333333284,0,0.1333333284
0.6304347826,3.20E-155,0.1904761863,0.01904761523,0.1785714244
0.7209302326,4.41E-155,0.1923076873,0.03199999502,0.1730769181
0.6136363636,1.69E-155,0.1797752764,0.01851851435,0.1573033662
0.5087719298,2.48E-155,0.1202185747,0,0.1202185747
0.619047619,4.20E-155,0.1523809474,0.01652892062,0.1142857093
0.6,6.34E-232,0.06060605579,0,0.06060605579
0.3913043478,3.33E-235,0.02857142677,0,0.02857142677
0.6486486486,1.59E-78,0.1904761855,0.05633802317,0.1587301537
0.6666666667,5.02E-232,0.15053763,0,0.1290322536
0.5882352941,9.28E-232,0.0612244849,0,0.0612244849
0.6666666667,1.27E-78,0.2056074716,0.02877697342,0.2056074716
0.652173913,6.56E-232,0.1904761858,0,0.1428571382
0.6956521739,4.53E-155,0.2033898255,0,0.186440673
0.6666666667,2.56E-155,0.142857138,0.04123710873,0.142857138
0.6862745098,3.00E-155,0.07361962735,0,0.07361962735
0.5952380952,1.08E-231,0.1234567859,0,0.07407406981
0.6363636364,1.15E-231,0.1538461497,0,0.1420118302
0.5833333333,8.63E-232,0.1308411167,0,0.1308411167
0.7027027027,3.21E-155,0.2857142808,0,0.2857142808
0.5952380952,2.94E-155,0.1499999956,0.0219780179,0.1249999956
0.6666666667,2.43E-232,0,0,0
1,1,0.999999995,0.999999995,0.999999995
0.6,3.20E-155,0.1428571393,0.01020407838,0.1298701264
0.6578947368,2.16E-155,0.1103448246,0,0.1103448246
0.6363636364,3.18E-155,0.1290322535,0.01702127213,0.1075268771
0.7105263158,0.2080656417,0.2988505697,0.1782178168,0.2988505697
0.4901960784,9.97E-232,0.02941176055,0,0.02941176055
0.6976744186,1.12E-231,0.1767955756,0,0.1657458518
0.3783783784,6.52E-232,0,0,0
0.58,1.15E-231,0.1379310302,0,0.1264367773
0.6829268293,0.1584678268,0.3296703249,0.1636363588,0.3076923029
0.568627451,1.20E-231,0.2048192725,0,0.2048192725
0.6530612245,4.41E-155,0.2222222172,0.01360543718,0.2222222172
0.6,2.83E-155,0.1904761855,0.01724137443,0.1523809474
0.56,8.49E-232,0.1386138565,0,0.1386138565
0.4285714286,9.00E-232,0.09722221935,0,0.09722221935
0.6078431373,3.21E-155,0.1240310028,0,0.1240310028
0.641025641,1.24E-231,0.1851851803,0,0.1851851803
0.5454545455,3.33E-155,0.1916167618,0.008849553002,0.1916167618
