Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.10625,7.88E-79,0.1920903911,0.01739129998,0.169491521
0.1125,9.19E-79,0.2022471866,0.01793721553,0.1685393214
0.06451612903,2.93E-155,0.1194029811,0.02499999651,0.1194029811
0.04347826087,9.48E-232,0.1126760527,0,0.1126760527
0.08333333333,3.67E-155,0.1538461494,0,0.1538461494
0.03703703704,1.01E-231,0.07317072685,0,0.07317072685
0.05555555556,1.10E-231,0.1012658178,0,0.1012658178
0.1063829787,2.34E-155,0.1886792405,0,0.169811316
0.08045977011,1.22E-231,0.1505376295,0,0.1290322531
0,3.65E-232,0,0,0
0.07070707071,2.70E-155,0.1333333285,0,0.1333333285
0.08860759494,1.04E-231,0.1445783084,0,0.1204819228
0.06849315068,1.10E-231,0.1298701252,0,0.1038960993
0.04761904762,2.03E-155,0.1123595457,0.01941747107,0.1123595457
0.03539823009,8.07E-232,0.05084745493,0,0.05084745493
0.0875,3.59E-155,0.1647058774,0.01941747074,0.1647058774
0,2.10E-237,0,0,0
0.09574468085,1.36E-78,0.1836734644,0.01739129935,0.1632653011
0.0612244898,9.50E-232,0.1153846104,0,0.07692307194
0.11,1.23E-231,0.1964285664,0,0.1607142807
0.07352941176,1.27E-232,0.1388888854,0,0.1388888854
0.07042253521,2.94E-155,0.1333333284,0,0.1333333284
0.1045751634,3.20E-155,0.1904761863,0.01904761523,0.1785714244
0.09375,4.41E-155,0.1923076873,0.03199999502,0.1730769181
0.08860759494,1.69E-155,0.1797752764,0.01851851435,0.1573033662
0.06395348837,2.48E-155,0.1202185747,0,0.1202185747
0.08,4.20E-155,0.1523809474,0.01652892062,0.1142857093
0.0412371134,6.34E-232,0.06060605579,0,0.06060605579
0.01428571429,3.33E-235,0.02857142677,0,0.02857142677
0.1,1.59E-78,0.1904761855,0.05633802317,0.1587301537
0.05813953488,5.02E-232,0.15053763,0,0.1290322536
0.03157894737,9.28E-232,0.0612244849,0,0.0612244849
0.09803921569,1.27E-78,0.2056074716,0.02877697342,0.2056074716
0.09333333333,6.56E-232,0.1904761858,0,0.1428571382
0.1111111111,4.53E-155,0.2033898255,0,0.186440673
0.07692307692,2.56E-155,0.142857138,0.04123710873,0.142857138
0.03896103896,3.00E-155,0.07361962735,0,0.07361962735
0.05063291139,1.08E-231,0.1234567859,0,0.07407406981
0.08280254777,1.15E-231,0.1538461497,0,0.1420118302
0.06862745098,8.63E-232,0.1308411167,0,0.1308411167
0.1351351351,3.21E-155,0.2857142808,0,0.2857142808
0.08,2.94E-155,0.1499999956,0.0219780179,0.1249999956
0,2.43E-232,0,0,0
0.9821428571,1,0.999999995,0.999999995,0.999999995
0.08333333333,3.20E-155,0.1428571393,0.01020407838,0.1298701264
0.06617647059,2.16E-155,0.1103448246,0,0.1103448246
0.07471264368,3.18E-155,0.1290322535,0.01702127213,0.1075268771
0.1842105263,0.2080656417,0.2988505697,0.1782178168,0.2988505697
0.015625,9.97E-232,0.02941176055,0,0.02941176055
0.1036585366,1.12E-231,0.1767955756,0,0.1657458518
0,6.52E-232,0,0,0
0.07407407407,1.15E-231,0.1379310302,0,0.1264367773
0.2025316456,0.1584678268,0.3296703249,0.1636363588,0.3076923029
0.1111111111,1.20E-231,0.2048192725,0,0.2048192725
0.1120689655,4.41E-155,0.2222222172,0.01360543718,0.2222222172
0.09574468085,2.83E-155,0.1904761855,0.01724137443,0.1523809474
0.06060606061,8.49E-232,0.1386138565,0,0.1386138565
0.05925925926,9.00E-232,0.09722221935,0,0.09722221935
0.06504065041,3.21E-155,0.1240310028,0,0.1240310028
0.08510638298,1.24E-231,0.1851851803,0,0.1851851803
0.1032258065,3.33E-155,0.1916167618,0.008849553002,0.1916167618
