Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.7714285714,2.85E-232,0.124999996,0,0.124999996
0.8,1.56E-155,0.2352941134,0.02083332912,0.2117647016
0.6756756757,1.03E-78,0.1999999962,0.04999999651,0.1999999962
0.5454545455,6.92E-232,0.04444443974,0,0.04444443974
0.6774193548,1.04E-231,0.1538461489,0,0.1538461489
0.7027027027,1.02E-231,0.1891891842,0,0.1891891842
0.6382978723,9.24E-232,0.1194029802,0,0.1194029802
0.5869565217,2.04E-155,0.1777777738,0.05555555139,0.1555555515
0.6585365854,3.63E-155,0.2666666618,0.01941747074,0.2222222173
0.6341463415,0,0.03508771664,0,0.03508771664
0.5952380952,0.07191477031,0.3181818141,0.1836734654,0.3181818141
0.8709677419,0.1566593907,0.4324324274,0.2022471862,0.3783783734
0.7272727273,3.08E-155,0.1971830938,0.02380951929,0.1971830938
0.7714285714,1.38E-78,0.2471910064,0.07079645529,0.2022471862
0.7179487179,0.1411212562,0.3749999958,0.2432432396,0.3749999958
0.7105263158,0.159476394,0.2891566215,0.1682242941,0.2891566215
0.8235294118,0.1304483163,0.38461538,0.1538461491,0.3461538415
0.5945945946,2.22E-155,0.2077922033,0.02222221758,0.2077922033
0.8529411765,0.1570257039,0.3673469339,0.1578947319,0.3469387706
0.7173913043,1.61E-155,0.1219512153,0.02127659132,0.1219512153
0.5813953488,1.67E-155,0.246913576,0.02127659148,0.246913576
0.225,0,0,0,0
0.6744186047,1.24E-231,0.2325581346,0,0.2093023207
0.6486486486,0.09949728537,0.2790697626,0.1081081033,0.2790697626
0.6666666667,9.14E-79,0.2197802152,0.03418802964,0.2197802152
0.4909090909,1.70E-232,0.02222221811,0,0.02222221811
0.675,1.02E-231,0.137254897,0,0.137254897
0.5490196078,5.41E-232,0.1473684163,0,0.1263157848
0.612244898,1.30E-231,0.1785714236,0,0.1785714236
0.7352941176,5.08E-155,0.2413793054,0.08823528912,0.2413793054
0.6363636364,1.33E-155,0.1573033666,0.01851851427,0.1573033666
0.6730769231,7.83E-232,0.09708737368,0,0.09708737368
0.8,2.59E-155,0.2199999951,0.01709401223,0.2199999951
0.5348837209,9.39E-232,0.1428571382,0,0.1190476144
0.6956521739,1.14E-78,0.1836734646,0.04878048298,0.1836734646
0.525,1.39E-232,0.08823529009,0,0.05882352538
0.6585365854,1.02E-231,0.1458333285,0,0.1458333285
0.7428571429,1.01E-231,0.1643835571,0,0.1369862969
0.6666666667,9.95E-232,0.1777777728,0,0.1555555506
0.6904761905,0.0981290116,0.3157894694,0.1999999957,0.3157894694
0.6097560976,7.81E-79,0.1315789427,0.0470588189,0.1052631532
0.7058823529,3.22E-155,0.1739130388,0.02631578497,0.1739130388
0.5555555556,8.84E-232,0.06818181344,0,0.06818181344
0.6530612245,9.56E-232,0.05660376859,0,0.05660376859
0.5365853659,1.06E-231,0.124999995,0,0.124999995
0.696969697,1.12E-231,0.1509433912,0,0.1509433912
0.6341463415,1.41E-232,0.134831457,0.01941747215,0.134831457
0.7096774194,2.41E-155,0.1904761861,0.0256410212,0.1587301544
0.6764705882,3.55E-155,0.1923076876,0.03278688047,0.1923076876
0.525,1.80E-232,0.1176470549,0,0.09411764311
0.4193548387,0,0,0,0
0.6382978723,2.48E-155,0.1237113353,0.01739129948,0.1237113353
0.7073170732,2.50E-155,0.241758237,0.01904761433,0.197802193
0.5111111111,8.12E-232,0.1458333287,0,0.1249999954
0.4772727273,6.20E-232,0.1395348802,0,0.1162790662
0.5,1.11E-232,0.1333333297,0,0.106666663
0.6666666667,0.1535690386,0.3333333285,0.1833333284,0.3124999952
0.4029850746,0.0531882786,0.2758620641,0.08823528955,0.2068965468
0.64,0.1162101599,0.3302752245,0.1562499952,0.3302752245
0.5714285714,1.06E-231,0.1403508724,0,0.1052631531
0.6304347826,0.06795410872,0.2696629171,0.1666666627,0.2696629171
