Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","If you feel worse, you should definitely take it. If you don't have a fever, cough or shortness of breath, you probably don't need the antibiotics. However, if","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.7222222222222222,2.3837686273587558e-232,0.22222221815576898,0.0,0.17283950210638632,16.176576399999995
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?","No corona in your lungs. If you have had a sore throat for a few days, and if you sneeze or cough a lot, you probably have it. If","Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.8064516129032258,1.1442761518914162e-155,0.14634145937834636,0.02105262742160747,0.14634145937834636,11.528826800000004
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,"If you have no symptoms and you travelled to Mauritiiia without any symptoms then no need to test. Unless you have a close contact that has tested positive for Covid 19, in which case you should get tested.. Otherwise no need to be tested.. Unless you have traveled to high risk country and or met with someone who has tested positive, in which cases you should be tested.","Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.6666666666666666,8.972141065609098e-232,0.1311475368234347,0.0,0.1311475368234347,21.858468399999992
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,If you are not having fever and cough get tested for Corona. If you are having fever and coughing get tested for Coronavirus. If you have had contact with someone who has tested positive for Corona get tested for Covid-19. If you do not have contact,Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.6551724137931034,9.893133360884868e-232,0.1463414585603809,0.0,0.09756097075550292,16.059029600000002
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.",That sounds like a very different situation. Is the dr treating you well and giving you appropriate treatment? Is the treatment you are taking available over the counter? What,Question   You have not posted a question.  Would you like to video or text chat with me?,0.71875,1.0332112772921225e-231,0.1463414585603809,0.0,0.1463414585603809,10.305893100000006
"Whatâ€™s worse with the coronavirus, type 1 or type 2 diabetes?","Depends on the diabetes and the person. For type 1 diabetes, the worse the symptoms are, the more likely you are to die. For type 2 diabetes, the worst the symptoms are, the more likely are to die, and the more likely is you surviving but not well.. For type 2, the worse is the severe symptoms, the more severe the infection is, and the person is",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.8125,9.966150368347767e-232,0.2727272677318642,0.023529406920416225,0.21212120712580362,21.701979800000004
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. Iâ€™m 67, or wait to see if I develop any symptoms.?","Wait to see if you develop any symptoms. If you have direct contact with someone who has visited a high risk area, like NYC or San Francisco, or if you have traveled from a high risk country","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.5957446808510638,1.0167992136329073e-231,0.11940298016484761,0.0,0.11940298016484761,12.25281799999999
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,"If your baby is under 2 weeks old, call the hospital right away and see what they advise you to do. If your baby Yanukovych is under 2weeks old, call his hospital right away. If your hospital is not accepting new patients, call the local","Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.6923076923076923,6.117657785135907e-232,0.17021276169081045,0.017857138494899023,0.1489361659461296,15.071504299999987
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?",You are most likely having a viral respiratory tract infection and need to be isolated. Get well soon. If you are not improving we can recommend a chest x ray and CBC (complete blood count). If worsening we can recommend an endoscopic evaluation of the area. Hope I have solved your query. I will be happy to help you further. Wishing good health,"Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.6136363636363636,1.2508498911928379e-231,0.2330097037383355,0.0,0.2330097037383355,19.917410699999976
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,It can be transmitted through all mucous membranes. The number of viral and genetic material is highly dependent upon the organism and the environment.   The goal is to keep people separated so as to prevent transmission.   Would you like to video or text chat with me? I can explain the process.  Would you prefer to video or phone chat with me.  Would,"Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.5789473684210527,0.0,0.0,0.0,0.0,20.698635999999993
