Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"I have all the symptoms except fever, I went to Medicross and Dr said I can get tested if I want to I'm not sure if I should. She gave me antibiotics Klacid XL 500mg, she said I can take it if I feel worse I'm worried it will make immune system bad?","If you feel worse, you probably should take it. If you don't have a fever, cough or chest pain, you probably don't need the antibiotics. If you have a fever","Antibiotic   I don't recommend antibiotics for a simple viral upper respiratory tract infection unless examination revealed signs of acute bronchitis or sinusitis.   They are not effective for viral infections like coVid 19 with no bacterial lung involvement either. If you've been exposed to someone with coVid 19 or or if you or someone you were exposed to travelled to a region where it was endemic, get tested  Would you like to video or text chat with me?",0.7428571428571429,2.7327872218566423e-232,0.17948717567389885,0.0,0.15384615003287322,16.884142999999995
"I have pain/discomfort in my lungs. I don't experience simultaneous on both lungs and it not always at the hame position. I don't have a head nor do I have high temperature. I sneeze and cough maybe once a day. Do I have corona, should I get tested?",If you have access to testing you should get it done. If you have access get a mask and sneeze a lot. It is not hard to sneeze if you,"Exam needed. You are assuming that the discomfort is coming from both lungs, but pain of pleurisy or pneumonia wouldn't come and go In different sites. I doubt your symptoms are lung related, but fever, chills, sweats, worse cough, shortness of breath, wheezing, warrant testing.. If you've been exposed to someone with covid, or if you or someone you were exposed to  travelled to an affected region, get tested.",0.7096774193548387,1.2964930810781183e-155,0.20253164178817504,0.02150537231587542,0.20253164178817504,14.680642999999918
I travelled to Mauritius and do not have symptoms. Should I get tested for covid19?,No symptoms no test. You are more than welcome to visit a local hospital or testing site depending on your country. There are online resources to help you along with local resources. TEsting is the only way to know. Self quarantine yourself Reyes    If you do not have a doctor call your local health resources  to find out where you can be tested.   Would you like,"Self Quarantine . Suggest Self Quarantine for 14 days . If symptomatic , contact your Primary Care Physician or use this platform.",0.5641025641025641,9.039352811507815e-232,0.112676052553065,0.0,0.112676052553065,30.480437400000028
I have a dry cough and a sore throat. I do not have a fever and a slight headache (could be I need more water) I am 4 months pregnant and not sure If I should be tested for Corona?,If you have not traveled or been in contact with a corona virus patient then your symptoms are unlikely related to corona virus. If you have traveled and are not showing any symptoms then your symptoms may be nonspecific and may not be covid.   If your,Socially isolate. get pleanty of fluids and rest and avoid others call dr if fever or difficulty breathing.,0.8076923076923077,9.206597977384398e-232,0.08888888418765457,0.0,0.08888888418765457,20.752316700000165
"I went to the Dr for a cough and fever on march 5. They diagnosed me with bronchitis. I was not doing any better, so I returned to the Dr on march 15. They sent me to the ER to get tested for covid. At the er they ran a number of tests including a covid t.",Sounds like a very different situation. I hope you get well soon. I hope your situation is less severe. I hope the Dr treats you well. Best wishes,Question   You have not posted a question.  Would you like to video or text chat with me?,0.5757575757575758,1.0423153399406431e-231,0.1578947318975071,0.0,0.1578947318975071,13.42786419999993
"Whatâ€™s worse with the coronavirus, type 1 or type 2 diabetes?","Probably the second. If you have had a sore throat for a few days and your GP is reassuring you don't have COVID-19, but you still need to be concerned, get tested and get a referral letter from your GP.. Call your GP's office for instructions. For emergencies, call the local health department. For general queries, see the Healthtap website.    Call",Diabetes. My answer would be controlled or not. Type 1 or 2 if managed well and treated can still maintain good immunity. If either are out of control then infections of any type more likely. .,0.5952380952380952,9.219149605677847e-232,0.09999999511250024,0.0,0.09999999511250024,29.78387399999997
"Just found out that my MD tested positive for Covid-19. I had direct interaction with him. He has no symptoms, he was tested because he traveled in February to Switzerland. Should I be tested. Iâ€™m 67, or wait to see if I develop any symptoms.?","Wait to see if you develop any symptoms. If you have direct contact with someone who has tested positive for COVID-19, then you should test if possible. If not, then you can't","Per RSA NICD: Self-isolate for 14 days.Seek testing if sick.Call 0800 029 999 for test information.Seek consultation if sick, preferably by phone or telemedicine.Seek care right away if difficulty breathing, other severe symptoms.Good luck, from the United States!",0.6041666666666666,8.980605341426996e-232,0.12499999517578143,0.0,0.12499999517578143,15.000075700000025
Hi. My children and husband were at the doctor yesterday and he has now informed us he has tested positive for covid19 . He has come home to my 2 babies and mom. How long before we can go for a test?,If you are a high risk pregnancy then it is best to wait for at least 2 weeks after the infection has broken and if you have traveled to high risk areas recently you should get tested immediately after getting symptoms. If you have a high risk pregnant then it is,"Incubation period   2-14 days(time from exposure to time of getting illness).  I am unclear if the doctor is positive or your husband is?You should isolate yourselves at home for 14 days.If your husband is positive,he should be in his own room and own bathroom,if possible.Testing only recommended if there are symptoms(fever or cough or shortness of breath)and then you should be tested.Good hand washing/no touching face  Would you like to video or text chat with me?",0.6666666666666666,2.530291365280706e-155,0.27722771818449177,0.01680671807358364,0.21782177759043242,19.342934699999887
"We went to bali via singapore, on my second day in bali (17 March) I started feeling a bit sick?","It's possible to get coronavirus from the air.     If you are in an area where covid 19 is present, you are quite at risk of it.   Would you like to video or text chat with me?  Would you prefer to text chat with us?Hello and Welcome to ‘Ask A Doctor’ service","Monitor temp. Most cases of COVID-19 are associated with symptoms, but not all. Your symptoms may be related to coronavirus infection or another infection. I would recommend that you be tested for Coronavirus and then stay inside, avoiding contact with others while awaiting your test results. Use good hand washing, disinfect surfaces and drink fluids.",0.6444444444444445,1.0917271091322487e-231,0.17582417089723476,0.0,0.15384614891921283,26.0464793000001
Is covering mouth and nose by mask sufficient to avoid corona exposure? Can It not be transmitted through eyes and ears?,"It can be transmitted through any mucosa or sinus or pharyngeal tract if properly sanitized.    However the most common way to catch corona is through the mouth and nose which are covered by a mask.   However, many infections can be transmitted via oral mucosa or the skin itself.   Would you like to video or text chat","Eyes, nose, mouth. Not ears.  See https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19.",0.6052631578947368,0.0,0.03703703425925947,0.0,0.03703703425925947,26.519090300000016
